SOURCE	TARGET	count
CD4+ Tex_OA_BT	ZNF683+ CD8+ Trm_RA_BT	7
CD4+ Tex_OA_BT	Proliferating CD8+ T_RA_BT	19
CD4+ Tex_OA_BT	GZMK+ CD8+ Tem1_RA_BT	12
CD4+ Tex_OA_BT	Proliferating NK_RA_BT	14
CD4+ Tex_OA_BT	GZMK+ CD8+ NKTem_RA_BT	6
CD4+ Tex_OA_BT	GNLY+ NK_RA_AT	9
CD4+ Tex_OA_BT	Naive T_RA_AT	9
CD4+ Tex_OA_BT	ZNF683+ CD8+ Trm_RA_AT	4
CD4+ Tex_OA_BT	Proliferating NK_RA_AT	11
CD4+ Tex_OA_BT	Treg_RA_AT	12
CD4+ Tex_OA_BT	CD4+ Tex_RA_AT	16
CD4+ Tex_OA_BT	GZMK+ CD8+ Tem2_RA_AT	4
CD4+ Tex_OA_BT	GZMK+ CD8+ Tem1_RA_AT	6
CD4+ Tex_OA_BT	Proliferating CD8+ T_RA_AT	18
CD4+ Tex_OA_BT	GZMK+ CD8+ NKTem_RA_AT	3
Treg_OA_BT	ZNF683+ CD8+ Trm_OA_BT	0
Treg_OA_BT	GZMK+ CD8+ NKTem_OA_BT	1
Treg_OA_BT	GNLY+ NK_OA_BT	2
Treg_OA_BT	Naive T_OA_BT	0
Treg_OA_BT	GZMK+ CD8+ Tem2_OA_BT	1
Treg_OA_BT	GZMK+ CD8+ Tem1_OA_BT	0
Treg_OA_BT	Proliferating CD8+ T_OA_BT	5
Treg_OA_BT	CD4+ Tex_OA_BT	0
Treg_OA_BT	Treg_OA_BT	0
Treg_OA_BT	Proliferating NK_OA_BT	5
Treg_OA_BT	Naive T_RA_BT	9
Treg_OA_BT	Treg_RA_BT	11
Treg_OA_BT	CD4+ Tex_RA_BT	15
Treg_OA_BT	GZMK+ CD8+ Tem2_RA_BT	9
Treg_OA_BT	GNLY+ NK_RA_BT	13
Treg_OA_BT	ZNF683+ CD8+ Trm_RA_BT	6
Treg_OA_BT	Proliferating CD8+ T_RA_BT	18
Treg_OA_BT	GZMK+ CD8+ Tem1_RA_BT	13
Treg_OA_BT	Proliferating NK_RA_BT	13
Treg_OA_BT	GZMK+ CD8+ NKTem_RA_BT	10
Treg_OA_BT	GNLY+ NK_RA_AT	11
Treg_OA_BT	Naive T_RA_AT	6
Treg_OA_BT	ZNF683+ CD8+ Trm_RA_AT	2
Treg_OA_BT	Proliferating NK_RA_AT	10
Treg_OA_BT	Treg_RA_AT	10
Treg_OA_BT	CD4+ Tex_RA_AT	15
Treg_OA_BT	GZMK+ CD8+ Tem2_RA_AT	5
Treg_OA_BT	GZMK+ CD8+ Tem1_RA_AT	6
Treg_OA_BT	Proliferating CD8+ T_RA_AT	16
Treg_OA_BT	GZMK+ CD8+ NKTem_RA_AT	3
Proliferating NK_OA_BT	ZNF683+ CD8+ Trm_OA_BT	5
Proliferating NK_OA_BT	GZMK+ CD8+ NKTem_OA_BT	15
Proliferating NK_OA_BT	GNLY+ NK_OA_BT	12
Proliferating NK_OA_BT	Naive T_OA_BT	4
Proliferating NK_OA_BT	GZMK+ CD8+ Tem2_OA_BT	7
Proliferating NK_OA_BT	GZMK+ CD8+ Tem1_OA_BT	7
Proliferating NK_OA_BT	Proliferating CD8+ T_OA_BT	12
Proliferating NK_OA_BT	CD4+ Tex_OA_BT	4
Proliferating NK_OA_BT	Treg_OA_BT	5
Proliferating NK_OA_BT	Proliferating NK_OA_BT	9
Proliferating NK_OA_BT	Naive T_RA_BT	17
Proliferating NK_OA_BT	Treg_RA_BT	21
Proliferating NK_OA_BT	CD4+ Tex_RA_BT	30
Proliferating NK_OA_BT	GZMK+ CD8+ Tem2_RA_BT	20
Proliferating NK_OA_BT	GNLY+ NK_RA_BT	27
Proliferating NK_OA_BT	ZNF683+ CD8+ Trm_RA_BT	17
Proliferating NK_OA_BT	Proliferating CD8+ T_RA_BT	33
Proliferating NK_OA_BT	GZMK+ CD8+ Tem1_RA_BT	29
Proliferating NK_OA_BT	Proliferating NK_RA_BT	27
Proliferating NK_OA_BT	GZMK+ CD8+ NKTem_RA_BT	24
Proliferating NK_OA_BT	GNLY+ NK_RA_AT	28
Proliferating NK_OA_BT	Naive T_RA_AT	12
Proliferating NK_OA_BT	ZNF683+ CD8+ Trm_RA_AT	11
Proliferating NK_OA_BT	Proliferating NK_RA_AT	36
Proliferating NK_OA_BT	Treg_RA_AT	22
Proliferating NK_OA_BT	CD4+ Tex_RA_AT	27
Proliferating NK_OA_BT	GZMK+ CD8+ Tem2_RA_AT	9
Proliferating NK_OA_BT	GZMK+ CD8+ Tem1_RA_AT	15
Proliferating NK_OA_BT	Proliferating CD8+ T_RA_AT	28
Proliferating NK_OA_BT	GZMK+ CD8+ NKTem_RA_AT	13
Naive T_RA_BT	ZNF683+ CD8+ Trm_OA_BT	7
Naive T_RA_BT	GZMK+ CD8+ NKTem_OA_BT	24
Naive T_RA_BT	GNLY+ NK_OA_BT	12
Naive T_RA_BT	Naive T_OA_BT	6
Naive T_RA_BT	GZMK+ CD8+ Tem2_OA_BT	15
Naive T_RA_BT	GZMK+ CD8+ Tem1_OA_BT	9
Naive T_RA_BT	Proliferating CD8+ T_OA_BT	23
Naive T_RA_BT	CD4+ Tex_OA_BT	11
Naive T_RA_BT	Treg_OA_BT	9
Naive T_RA_BT	Proliferating NK_OA_BT	17
Naive T_RA_BT	Naive T_RA_BT	23
Naive T_RA_BT	Treg_RA_BT	39
Naive T_RA_BT	CD4+ Tex_RA_BT	57
Naive T_RA_BT	GZMK+ CD8+ Tem2_RA_BT	41
Naive T_RA_BT	GNLY+ NK_RA_BT	48
Naive T_RA_BT	ZNF683+ CD8+ Trm_RA_BT	42
Naive T_RA_BT	Proliferating CD8+ T_RA_BT	61
Naive T_RA_BT	GZMK+ CD8+ Tem1_RA_BT	50
Naive T_RA_BT	Proliferating NK_RA_BT	33
Naive T_RA_BT	GZMK+ CD8+ NKTem_RA_BT	40
