SOURCE	TARGET	count
Mac_OA_BT	SPP1+ Mac_OA_BT	6
Mac_OA_BT	C1QC+ Mac_OA_BT	10
Mac_OA_BT	S100A12+ Mac_OA_BT	0
Mac_OA_BT	IEG Mac_OA_BT	0
Mac_OA_BT	Mac_OA_BT	0
Mac_OA_BT	CCL4+ Mac_OA_BT	1
Mac_OA_BT	SPP1+ Mac_RA_BT	25
Mac_OA_BT	S100A12+ Mac_RA_BT	15
Mac_OA_BT	IEG Mac_RA_BT	15
Mac_OA_BT	Mac_RA_BT	12
Mac_OA_BT	C1QC+ Mac_RA_BT	19
Mac_OA_BT	CCL4+ Mac_RA_BT	25
Mac_OA_BT	Mac_RA_AT	5
Mac_OA_BT	C1QC+ Mac_RA_AT	22
Mac_OA_BT	SPP1+ Mac_RA_AT	15
Mac_OA_BT	S100A12+ Mac_RA_AT	11
Mac_OA_BT	IEG Mac_RA_AT	5
Mac_OA_BT	CCL4+ Mac_RA_AT	24
Mac_OA_BT	ZNF683+ CD8+ Trm_OA_BT	3
Mac_OA_BT	GZMK+ CD8+ NKTem_OA_BT	5
Mac_OA_BT	GNLY+ NK_OA_BT	4
Mac_OA_BT	Naive T_OA_BT	1
Mac_OA_BT	GZMK+ CD8+ Tem2_OA_BT	3
Mac_OA_BT	GZMK+ CD8+ Tem1_OA_BT	3
Mac_OA_BT	Proliferating CD8+ T_OA_BT	6
Mac_OA_BT	CD4+ Tex_OA_BT	2
Mac_OA_BT	Treg_OA_BT	2
Mac_OA_BT	Proliferating NK_OA_BT	6
Mac_OA_BT	Naive T_RA_BT	7
Mac_OA_BT	Treg_RA_BT	7
Mac_OA_BT	CD4+ Tex_RA_BT	13
Mac_OA_BT	GZMK+ CD8+ Tem2_RA_BT	10
Mac_OA_BT	GNLY+ NK_RA_BT	16
Mac_OA_BT	ZNF683+ CD8+ Trm_RA_BT	9
Mac_OA_BT	Proliferating CD8+ T_RA_BT	14
Mac_OA_BT	GZMK+ CD8+ Tem1_RA_BT	13
Mac_OA_BT	Proliferating NK_RA_BT	6
Mac_OA_BT	GZMK+ CD8+ NKTem_RA_BT	12
Mac_OA_BT	GNLY+ NK_RA_AT	16
Mac_OA_BT	Naive T_RA_AT	4
Mac_OA_BT	ZNF683+ CD8+ Trm_RA_AT	8
Mac_OA_BT	Proliferating NK_RA_AT	6
Mac_OA_BT	Treg_RA_AT	7
Mac_OA_BT	CD4+ Tex_RA_AT	8
Mac_OA_BT	GZMK+ CD8+ Tem2_RA_AT	6
Mac_OA_BT	GZMK+ CD8+ Tem1_RA_AT	10
Mac_OA_BT	Proliferating CD8+ T_RA_AT	14
Mac_OA_BT	GZMK+ CD8+ NKTem_RA_AT	9
CCL4+ Mac_OA_BT	SPP1+ Mac_OA_BT	4
CCL4+ Mac_OA_BT	C1QC+ Mac_OA_BT	6
CCL4+ Mac_OA_BT	S100A12+ Mac_OA_BT	1
CCL4+ Mac_OA_BT	IEG Mac_OA_BT	1
CCL4+ Mac_OA_BT	Mac_OA_BT	1
CCL4+ Mac_OA_BT	CCL4+ Mac_OA_BT	1
CCL4+ Mac_OA_BT	SPP1+ Mac_RA_BT	14
CCL4+ Mac_OA_BT	S100A12+ Mac_RA_BT	6
CCL4+ Mac_OA_BT	IEG Mac_RA_BT	9
CCL4+ Mac_OA_BT	Mac_RA_BT	8
CCL4+ Mac_OA_BT	C1QC+ Mac_RA_BT	11
CCL4+ Mac_OA_BT	CCL4+ Mac_RA_BT	11
CCL4+ Mac_OA_BT	Mac_RA_AT	5
CCL4+ Mac_OA_BT	C1QC+ Mac_RA_AT	11
CCL4+ Mac_OA_BT	SPP1+ Mac_RA_AT	9
CCL4+ Mac_OA_BT	S100A12+ Mac_RA_AT	4
CCL4+ Mac_OA_BT	IEG Mac_RA_AT	4
CCL4+ Mac_OA_BT	CCL4+ Mac_RA_AT	12
CCL4+ Mac_OA_BT	ZNF683+ CD8+ Trm_OA_BT	2
CCL4+ Mac_OA_BT	GZMK+ CD8+ NKTem_OA_BT	1
CCL4+ Mac_OA_BT	GNLY+ NK_OA_BT	0
CCL4+ Mac_OA_BT	Naive T_OA_BT	1
CCL4+ Mac_OA_BT	GZMK+ CD8+ Tem2_OA_BT	0
CCL4+ Mac_OA_BT	GZMK+ CD8+ Tem1_OA_BT	1
CCL4+ Mac_OA_BT	Proliferating CD8+ T_OA_BT	6
CCL4+ Mac_OA_BT	CD4+ Tex_OA_BT	1
CCL4+ Mac_OA_BT	Treg_OA_BT	1
CCL4+ Mac_OA_BT	Proliferating NK_OA_BT	1
CCL4+ Mac_OA_BT	Naive T_RA_BT	3
CCL4+ Mac_OA_BT	Treg_RA_BT	3
CCL4+ Mac_OA_BT	CD4+ Tex_RA_BT	4
CCL4+ Mac_OA_BT	GZMK+ CD8+ Tem2_RA_BT	3
CCL4+ Mac_OA_BT	GNLY+ NK_RA_BT	4
CCL4+ Mac_OA_BT	ZNF683+ CD8+ Trm_RA_BT	4
CCL4+ Mac_OA_BT	Proliferating CD8+ T_RA_BT	6
CCL4+ Mac_OA_BT	GZMK+ CD8+ Tem1_RA_BT	4
CCL4+ Mac_OA_BT	Proliferating NK_RA_BT	7
CCL4+ Mac_OA_BT	GZMK+ CD8+ NKTem_RA_BT	5
CCL4+ Mac_OA_BT	GNLY+ NK_RA_AT	4
CCL4+ Mac_OA_BT	Naive T_RA_AT	3
CCL4+ Mac_OA_BT	ZNF683+ CD8+ Trm_RA_AT	3
CCL4+ Mac_OA_BT	Proliferating NK_RA_AT	6
CCL4+ Mac_OA_BT	Treg_RA_AT	2
CCL4+ Mac_OA_BT	CD4+ Tex_RA_AT	3
CCL4+ Mac_OA_BT	GZMK+ CD8+ Tem2_RA_AT	2
CCL4+ Mac_OA_BT	GZMK+ CD8+ Tem1_RA_AT	2
CCL4+ Mac_OA_BT	Proliferating CD8+ T_RA_AT	6
CCL4+ Mac_OA_BT	GZMK+ CD8+ NKTem_RA_AT	4
SPP1+ Mac_RA_BT	SPP1+ Mac_OA_BT	84
SPP1+ Mac_RA_BT	C1QC+ Mac_OA_BT	91
SPP1+ Mac_RA_BT	S100A12+ Mac_OA_BT	34
